bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  [FE]  AssertionError  [FE]    AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.log(x));  [BUGGY]  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	add	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(x));	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  	compilable	  [FE]  AssertionError  	15	4	replace
2	[BUG]  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.log(x));  [FE]  AssertionError  [FE]    AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.log(x));  [BUGGY]  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	replace	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(x));	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  	compilable	  [FE]  AssertionError  	15	4	replace
3	[BUG]  [BUGGY]  timeout  [FE]      AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]  final  double  r=  FastMath.sqrt(2  *  FastMath.log(x));  [BUGGY]  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	add	final  double  r=  FastMath.sqrt(2  *  FastMath.log(x));	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  	compilable	timeout	15	1	replace
4	[BUG]  [BUGGY]  final  double  r=  FastMath.sqrt(2  *  FastMath.log(x));  timeout  [FE]      AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]  final  double  r=  FastMath.sqrt(2  *  FastMath.log(x));  [BUGGY]  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	replace	final  double  r=  FastMath.sqrt(2  *  FastMath.log(x));	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  	compilable	timeout	15	1	replace
5	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  r  [FE]        AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]    [BUGGY]  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	replace	  	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  	non-compiled	[CE]  cannot  find  symbol  r	15	None	replace
6	[BUG]  [BUGGY]    double  r  =  FastMath.sin(x);  [CE]  variable  r  is  already  defined  in  method  nextGaussian()  [FE]    AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]    double  r  =  FastMath.sin(x);  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	replace	    double  r  =  FastMath.sin(x);		non-compiled	[CE]  variable  r  is  already  defined  in  method  nextGaussian()	16	None	add
7	[BUG]  [BUGGY]    final  double  r  =  FastMath.sin(x);  [CE]  variable  r  is  already  defined  in  method  nextGaussian()  [FE]      AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]    final  double  r  =  FastMath.sin(x);  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	replace	    final  double  r  =  FastMath.sin(x);		non-compiled	[CE]  variable  r  is  already  defined  in  method  nextGaussian()	16	None	add
8	[BUG]  [BUGGY]  [FE]  AssertionError  [FE]    AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.cos(alpha));  [BUGGY]  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	add	final  double  r=  FastMath.sqrt(-2  *  FastMath.cos(alpha));	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  	compilable	  [FE]  AssertionError  	15	4	replace
9	[BUG]  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.cos(alpha));  [FE]  AssertionError  [FE]    AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.cos(alpha));  [BUGGY]  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	replace	final  double  r=  FastMath.sqrt(-2  *  FastMath.cos(alpha));	final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  	compilable	  [FE]  AssertionError  	15	4	replace
10	[BUG]  [BUGGY]    final  double  random  =  FastMath.cos(x);  [CE]  variable  random  is  already  defined  in  method  nextGaussian()  [FE]    AssertionError  [CONTEXT]  public  double  nextGaussian()  {  final  double  random;  if  (Double.isNaN(nextGaussian))  {  final  double  x  =  nextDouble();  final  double  y  =  nextDouble();  final  double  alpha  =  2  *  FastMath.PI  *  x;  [BUGGY]    final  double  random  =  FastMath.cos(x);  [BUGGY]  final  double  r=  FastMath.sqrt(-2  *  FastMath.log(y));  random  =  r  *  FastMath.cos(alpha);  nextGaussian  =  r  *  FastMath.sin(alpha);  }  else  {  random  =  nextGaussian;  nextGaussian  =  Double.NaN;  }  return  random;  [CLASS]  BitsStreamGenerator  [METHOD]  nextGaussian  [RETURN_TYPE]  double  [VARIABLES]  double  alpha  nextGaussian  r  random  x  y  boolean  	projects/Math12/src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java	0.7071067811865476	106	106	3	replace	    final  double  random  =  FastMath.cos(x);		non-compiled	[CE]  variable  random  is  already  defined  in  method  nextGaussian()	16	None	add
